PhraseId,Sentiment
49466,1
64848,1
47201,1
11322,3
118344,2
118744,3
104308,1
128977,1
108546,3
108475,1
6661,1
137634,1
65518,1
83974,3
32313,2
35074,1
5853,1
33505,2
50456,1
115478,1
14950,1
71847,3
24134,2
12616,1
97782,1
25931,1
88113,1
50199,2
31116,1
83837,1
112467,3
64977,3
64922,1
62827,4
17972,1
140051,1
72026,1
116564,1
78593,1
13625,2
83306,1
60987,1
92823,1
147934,2
125818,1
87718,1
43627,1
119113,2
48123,1
115516,4
59749,1
18025,2
85244,3
24258,1
25502,1
69339,3
116132,3
144617,1
139399,1
13275,1
29314,1
141105,1
96946,1
44971,1
100316,1
753,1
73907,3
151409,1
92235,3
119618,1
120390,1
108772,1
133436,1
143379,1
121352,1
66238,1
100753,1
14741,2
130123,2
94654,1
44586,1
21112,1
60397,1
145226,2
136828,1
152320,1
102092,4
113102,3
70016,3
140812,1
142009,1
90818,1
84850,1
110798,3
36842,1
93758,1
20966,3
134938,1
3078,1
46817,2
64670,2
119322,2
79574,1
47415,1
46303,1
94289,2
26092,1
104432,2
128148,3
144314,1
74319,2
70415,1
61009,1
17824,2
5347,3
36468,1
135718,2
58666,3
113082,3
15832,4
97604,3
120035,2
134239,1
129096,1
74925,1
100985,1
26392,3
93822,1
117004,1
21274,1
151577,2
26956,3
40464,1
138648,1
71311,2
39446,1
73714,3
65788,1
78474,2
140073,1
133871,1
58731,2
2622,2
23026,2
152964,1
153154,2
1091,3
140372,1
15210,2
101515,1
2889,2
152814,1
67836,2
146661,1
154385,1
1973,2
113037,1
116240,1
62505,1
116822,2
106843,2
149949,3
129422,1
110975,2
49221,1
100881,2
73730,1
76102,1
91577,1
52208,1
38031,1
116188,2
126062,1
112411,3
56845,2
2228,1
113705,3
142989,1
80144,1
90261,3
17439,3
112907,1
37087,1
146723,1
138923,3
148463,2
133804,1
60094,1
138619,2
148564,1
89159,3
85955,1
153035,1
14532,1
10514,1
395,1
68729,0
81557,2
80951,3
115511,1
126213,1
22649,1
89227,1
85589,1
30669,3
81981,1
41039,3
59107,2
107535,2
16599,3
59760,1
23298,1
15538,1
12978,1
1923,2
57381,1
134048,1
122155,1
52275,1
17995,3
146533,2
146243,1
82141,2
62664,3
23137,1
44692,1
8741,1
92737,3
15531,1
99142,1
108734,2
70829,1
142574,1
94495,1
129385,1
114991,1
76379,2
103970,1
118139,2
85246,3
125798,1
55057,2
73946,1
35751,1
7533,1
28876,3
120188,1
131389,1
111,3
24801,2
42039,1
47143,2
36631,1
96118,1
97645,1
99594,1
40490,2
7216,3
60964,2
94929,1
128700,1
111156,2
149285,1
100576,3
104547,1
26913,2
144480,1
155971,2
54806,1
52537,1
51566,1
43862,1
141738,2
120525,1
111434,2
102398,2
23827,1
12476,1
46943,3
44822,1
80128,1
155568,1
66927,1
89581,1
150396,2
67895,3
14222,1
121235,1
71887,1
32199,2
132792,3
67199,2
60622,1
95494,1
87734,1
114948,3
109920,4
21189,3
144407,3
89139,3
15743,0
73769,1
79956,2
22814,2
145807,0
99539,3
43105,1
129028,3
2074,1
97852,1
34617,1
23306,3
58992,1
107995,1
97326,1
153749,1
26872,1
39282,1
133578,1
106790,1
156039,1
143199,1
99316,1
89232,3
1650,1
138408,3
87791,3
90012,3
118887,1
9398,2
35833,3
120140,3
118540,1
6466,1
18844,1
126364,2
30827,2
75646,1
24691,3
89523,2
112758,1
139465,4
148600,1
48200,3
11977,3
110255,1
33032,4
3557,3
48174,2
136121,1
4155,3
152697,1
118111,4
5882,1
147924,1
154638,1
152979,2
155095,1
63774,1
103912,1
154656,1
95036,3
20585,2
138723,4
1802,3
130840,1
10419,1
87727,1
54165,1
95687,2
86354,3
18186,3
69816,1
78136,1
71859,1
27921,2
35729,3
144842,1
3762,3
113738,3
33804,1
126124,1
13042,1
69830,2
65119,1
134020,3
80324,1
41442,1
111213,1
35611,2
87488,3
154343,2
134521,1
144827,1
101035,1
114193,1
19484,1
677,3
107132,3
27390,1
39931,2
128289,2
13722,2
111088,2
16254,1
133065,1
69541,1
15563,1
34039,2
117197,2
127610,3
64626,1
74696,2
60958,2
79939,1
144436,1
30862,4
105001,1
95862,1
107673,3
103660,3
127171,1
131954,1
48739,1
17461,1
41484,1
116993,3
71379,1
88940,1
4819,3
127430,2
36365,3
50161,3
82530,1
148865,1
102285,1
131254,1
151378,1
44749,2
100518,2
100029,3
69675,1
154813,3
136638,1
22984,1
120659,1
